"Date","Price (Close)","Circulating Marketcap","Realized Marketcap"
"2022-02-03","37331.44072753229","699657016260.8044","454545821539.1593"
"2022-02-02","36920.350324988256","733619662273.2988","454755577111.7977"
"2022-02-01","38721.010706257424","729672897979.6793","455168757347.70087"
"2022-01-31","38490.065368439595","718215001029.8843","452685000129.0253"
"2022-01-30","37905.13870344644","723490157952.021","452706430436.77924"
"2022-01-29","38182.04097037234","715278325425.2719","453078664233.3788"
"2022-01-28","37739.458415110355","702794890407.0444","453789497159.7419"
"2022-01-27","37181.24471827503","697329293394.231","454247299955.84485"
"2022-01-26","36833.92008537178","700037532771.753","454501809280.31757"
"2022-01-25","36981.47196006759","694488649027.8073","454795978433.49866"
"2022-01-24","36688.135613949125","686853559274.7458","454874860228.2608"
"2022-01-23","36276.72538118257","664020001601.233","455389546707.60175"
"2022-01-22","35078.71446822955","691593802742.7429","455432413581.10956"
"2022-01-21","36467.14401085583","770554344991.8525","456186482545.25745"
"2022-01-20","40686.30786420817","789574722917.5856","458935359896.40393"
"2022-01-19","41675.09028532346","802471035107.9812","459484397268.1314"
"2022-01-18","42372.24700541985","799736290992.3484","460139116808.7547"
"2022-01-17","42221.051687156454","815802117092.2112","460265277444.6115"
"2022-01-16","43094.373969658496","816088720746.1433","460676824784.98584"
"2022-01-15","43095.616604307725","815601257784.1648","460602756123.03284"
"2022-01-14","43085.56971573354","805439225664.8766","460525951967.7937"
"2022-01-13","42573.11237548382","831092823113.4902","460522077251.89307"
"2022-01-12","43920.93710308029","809089359176.9801","460821557228.6907"
"2022-01-11","42742.67943384213","791877164734.3219","460423944684.6165"
"2022-01-10","41831.121668248255","792251137326.1252","460480250973.06793"
"2022-01-09","41868.39850441903","789120343767.8074","460639613426.01794"
"2022-01-08","41686.819398481966","786307543936.8168","460689620505.64417"
"2022-01-07","41555.91333306524","815793870335.9976","460838393090.039"
"2022-01-06","43086.867495127044","822149967635.7725","461737918335.13635"
"2022-01-05","43443.74266337539","867343714193.4033","462129584502.91455"
"2022-01-04","45828.00081420645","878369403071.7032","462754390816.9644"
"2022-01-03","46448.54887176065","895373351244.1455","463162944897.8534"
"2022-01-02","47300.260977473095","903071002777.1117","463316912263.3352"
"2022-01-01","47738.09021326221","873686222803.13","463293135888.8268"
"2021-12-31","46209.1139456154","891641613346.9657","463115694273.5286"
"2021-12-30","47127.70357741576","878080851989.5676","463165554253.8503"
"2021-12-29","46471.4215805147","899812483396.3638","462984715971.5546"
"2021-12-28","47549.767421230325","958775686363.7617","463383765865.0545"
"2021-12-27","50713.32173892958","961041347120.1328","463942433153.01215"
"2021-12-26","50801.801040581006","953468752395.488","463752827367.3021"
"2021-12-25","50433.005302307545","960599149837.3358","463509477789.7341"
"2021-12-24","50841.174469837315","960842680300.2849","463556990766.97504"
"2021-12-23","50840.98385030687","919131301429.8821","463218883753.9591"
"2021-12-22","48607.97360153215","924882998092.9149","462447929744.00964"
